type,start_date,end_date,duration_blocks,basin
Wet,2002-01-01,2002-03-01,3,Amazon Basin
Dry,2002-04-01,2002-04-01,1,Amazon Basin
Wet,2002-05-01,2002-05-01,1,Amazon Basin
Dry,2002-06-01,2002-08-01,3,Amazon Basin
Wet,2002-09-01,2002-09-01,1,Amazon Basin
Dry,2002-10-01,2002-10-01,1,Amazon Basin
Wet,2002-11-01,2003-03-01,5,Amazon Basin
Dry,2003-04-01,2003-04-01,1,Amazon Basin
Wet,2003-05-01,2003-05-01,1,Amazon Basin
Dry,2003-06-01,2003-06-01,1,Amazon Basin
Wet,2003-07-01,2003-07-01,1,Amazon Basin
Dry,2003-08-01,2003-08-01,1,Amazon Basin
Wet,2003-09-01,2003-09-01,1,Amazon Basin
Dry,2003-10-01,2003-10-01,1,Amazon Basin
Wet,2003-11-01,2004-04-01,6,Amazon Basin
Dry,2004-05-01,2004-05-01,1,Amazon Basin
Wet,2004-06-01,2004-06-01,1,Amazon Basin
Dry,2004-07-01,2004-07-01,1,Amazon Basin
Wet,2004-08-01,2004-08-01,1,Amazon Basin
Dry,2004-09-01,2004-09-01,1,Amazon Basin
Wet,2004-10-01,2004-10-01,1,Amazon Basin
Dry,2004-11-01,2004-11-01,1,Amazon Basin
Wet,2004-12-01,2005-03-01,4,Amazon Basin
Dry,2005-04-01,2005-04-01,1,Amazon Basin
Wet,2005-05-01,2005-07-01,3,Amazon Basin
Dry,2005-08-01,2005-08-01,1,Amazon Basin
Wet,2005-09-01,2005-09-01,1,Amazon Basin
Dry,2005-10-01,2005-10-01,1,Amazon Basin
Wet,2005-11-01,2005-11-01,1,Amazon Basin
Dry,2005-12-01,2005-12-01,1,Amazon Basin
Wet,2006-01-01,2006-03-01,3,Amazon Basin
Dry,2006-04-01,2006-04-01,1,Amazon Basin
Wet,2006-05-01,2006-09-01,5,Amazon Basin
Dry,2006-10-01,2006-10-01,1,Amazon Basin
Wet,2006-11-01,2007-03-01,5,Amazon Basin
Dry,2007-04-01,2007-04-01,1,Amazon Basin
Wet,2007-05-01,2007-06-01,2,Amazon Basin
Dry,2007-07-01,2007-10-01,4,Amazon Basin
Wet,2007-11-01,2007-11-01,1,Amazon Basin
Dry,2007-12-01,2008-03-01,4,Amazon Basin
Wet,2008-04-01,2008-04-01,1,Amazon Basin
Dry,2008-05-01,2008-09-01,5,Amazon Basin
Wet,2008-10-01,2008-10-01,1,Amazon Basin
Dry,2008-11-01,2009-04-01,6,Amazon Basin
Wet,2009-05-01,2009-05-01,1,Amazon Basin
Dry,2009-06-01,2009-06-01,1,Amazon Basin
Wet,2009-07-01,2009-09-01,3,Amazon Basin
Dry,2009-10-01,2009-10-01,1,Amazon Basin
Wet,2009-11-01,2009-11-01,1,Amazon Basin
Dry,2009-12-01,2009-12-01,1,Amazon Basin
Wet,2010-01-01,2010-03-01,3,Amazon Basin
Dry,2010-04-01,2010-04-01,1,Amazon Basin
Wet,2010-05-01,2010-06-01,2,Amazon Basin
Dry,2010-07-01,2010-10-01,4,Amazon Basin
Wet,2010-11-01,2010-11-01,1,Amazon Basin
Dry,2010-12-01,2011-04-01,5,Amazon Basin
Wet,2011-05-01,2011-05-01,1,Amazon Basin
Dry,2011-06-01,2011-07-01,2,Amazon Basin
Wet,2011-08-01,2011-08-01,1,Amazon Basin
Dry,2011-09-01,2011-10-01,2,Amazon Basin
Wet,2011-11-01,2011-11-01,1,Amazon Basin
Dry,2011-12-01,2012-03-01,4,Amazon Basin
Wet,2012-04-01,2012-04-01,1,Amazon Basin
Dry,2012-05-01,2012-06-01,2,Amazon Basin
Wet,2012-07-01,2012-08-01,2,Amazon Basin
Dry,2012-09-01,2012-09-01,1,Amazon Basin
Wet,2012-10-01,2012-10-01,1,Amazon Basin
Dry,2012-11-01,2013-04-01,6,Amazon Basin
Wet,2013-05-01,2013-05-01,1,Amazon Basin
Dry,2013-06-01,2013-08-01,3,Amazon Basin
Wet,2013-09-01,2013-09-01,1,Amazon Basin
Dry,2013-10-01,2013-10-01,1,Amazon Basin
Wet,2013-11-01,2013-11-01,1,Amazon Basin
Dry,2013-12-01,2014-04-01,5,Amazon Basin
Wet,2014-05-01,2014-09-01,5,Amazon Basin
Dry,2014-10-01,2014-10-01,1,Amazon Basin
Wet,2014-11-01,2014-11-01,1,Amazon Basin
Dry,2014-12-01,2015-04-01,5,Amazon Basin
Wet,2015-05-01,2015-09-01,5,Amazon Basin
Dry,2015-10-01,2015-10-01,1,Amazon Basin
Wet,2015-11-01,2016-04-01,6,Amazon Basin
Dry,2016-05-01,2016-08-01,4,Amazon Basin
Wet,2016-09-01,2016-10-01,2,Amazon Basin
Dry,2016-11-01,2016-11-01,1,Amazon Basin
Wet,2016-12-01,2016-12-01,1,Amazon Basin
Dry,2017-01-01,2017-04-01,4,Amazon Basin
Wet,2017-05-01,2017-07-01,3,Amazon Basin
Dry,2017-08-01,2017-10-01,3,Amazon Basin
Wet,2017-11-01,2018-02-01,4,Amazon Basin
Dry,2018-03-01,2018-04-01,2,Amazon Basin
Wet,2018-05-01,2018-09-01,5,Amazon Basin
Dry,2018-10-01,2018-10-01,1,Amazon Basin
Wet,2018-11-01,2018-12-01,2,Amazon Basin
Dry,2019-01-01,2019-01-01,1,Amazon Basin
Wet,2019-02-01,2019-02-01,1,Amazon Basin
Dry,2019-03-01,2019-04-01,2,Amazon Basin
Wet,2019-05-01,2019-06-01,2,Amazon Basin
Dry,2019-07-01,2019-10-01,4,Amazon Basin
Wet,2019-11-01,2019-11-01,1,Amazon Basin
Dry,2019-12-01,2019-12-01,1,Amazon Basin
Wet,2020-01-01,2020-04-01,4,Amazon Basin
Dry,2020-05-01,2020-06-01,2,Amazon Basin
Wet,2020-07-01,2020-08-01,2,Amazon Basin
Dry,2020-09-01,2020-09-01,1,Amazon Basin
Wet,2020-10-01,2020-10-01,1,Amazon Basin
Dry,2020-11-01,2021-04-01,6,Amazon Basin
Wet,2021-05-01,2021-05-01,1,Amazon Basin
Dry,2021-06-01,2021-08-01,3,Amazon Basin
Wet,2021-09-01,2021-09-01,1,Amazon Basin
Dry,2021-10-01,2021-10-01,1,Amazon Basin
Wet,2021-11-01,2021-11-01,1,Amazon Basin
Dry,2021-12-01,2021-12-01,1,Amazon Basin
Wet,2022-01-01,2022-01-01,1,Amazon Basin
Dry,2022-02-01,2022-02-01,1,Amazon Basin
Wet,2022-03-01,2022-03-01,1,Amazon Basin
