type,start_date,end_date,duration_blocks,basin
Dry,2001-01-01,2005-01-01,5,Amazon Basin
Wet,2006-01-01,2006-01-01,1,Amazon Basin
Dry,2007-01-01,2007-01-01,1,Amazon Basin
Wet,2008-01-01,2009-01-01,2,Amazon Basin
Dry,2010-01-01,2010-01-01,1,Amazon Basin
Wet,2011-01-01,2014-01-01,4,Amazon Basin
Dry,2015-01-01,2016-01-01,2,Amazon Basin
Wet,2017-01-01,2019-01-01,3,Amazon Basin
Dry,2020-01-01,2020-01-01,1,Amazon Basin
Wet,2021-01-01,2021-01-01,1,Amazon Basin
Dry,2022-01-01,2025-01-01,4,Amazon Basin
Wet,2001-01-01,2001-01-01,1,California
Dry,2002-01-01,2003-01-01,2,California
Wet,2004-01-01,2006-01-01,3,California
Dry,2007-01-01,2009-01-01,3,California
Wet,2010-01-01,2011-01-01,2,California
Dry,2012-01-01,2015-01-01,4,California
Wet,2016-01-01,2017-01-01,2,California
Dry,2018-01-01,2018-01-01,1,California
Wet,2019-01-01,2019-01-01,1,California
Dry,2020-01-01,2022-01-01,3,California
Wet,2023-01-01,2023-01-01,1,California
Dry,2024-01-01,2025-01-01,2,California
Wet,2001-01-01,2001-01-01,1,Colorado
Dry,2002-01-01,2004-01-01,3,Colorado
Wet,2005-01-01,2008-01-01,4,Colorado
Dry,2009-01-01,2009-01-01,1,Colorado
Wet,2010-01-01,2011-01-01,2,Colorado
Dry,2012-01-01,2013-01-01,2,Colorado
Wet,2014-01-01,2014-01-01,1,Colorado
Dry,2015-01-01,2016-01-01,2,Colorado
Wet,2017-01-01,2017-01-01,1,Colorado
Dry,2018-01-01,2018-01-01,1,Colorado
Wet,2019-01-01,2019-01-01,1,Colorado
Dry,2020-01-01,2022-01-01,3,Colorado
Wet,2023-01-01,2023-01-01,1,Colorado
Dry,2024-01-01,2025-01-01,2,Colorado
Dry,2001-01-01,2009-01-01,9,Congo
Wet,2010-01-01,2013-01-01,4,Congo
Dry,2014-01-01,2014-01-01,1,Congo
Wet,2015-01-01,2019-01-01,5,Congo
