type,start_date,end_date,duration_blocks,basin
Wet,2002-01-01,2007-01-01,6,Amazon Basin
Dry,2008-01-01,2014-01-01,7,Amazon Basin
Wet,2015-01-01,2016-01-01,2,Amazon Basin
Dry,2017-01-01,2017-01-01,1,Amazon Basin
Wet,2018-01-01,2018-01-01,1,Amazon Basin
Dry,2019-01-01,2022-01-01,4,Amazon Basin
Wet,2023-01-01,2024-01-01,2,Amazon Basin
Dry,2002-01-01,2002-01-01,1,California
Wet,2003-01-01,2006-01-01,4,California
Dry,2007-01-01,2009-01-01,3,California
Wet,2010-01-01,2011-01-01,2,California
Dry,2012-01-01,2015-01-01,4,California
Wet,2016-01-01,2017-01-01,2,California
Dry,2018-01-01,2018-01-01,1,California
Wet,2019-01-01,2019-01-01,1,California
Dry,2020-01-01,2022-01-01,3,California
Wet,2023-01-01,2023-01-01,1,California
Dry,2024-01-01,2024-01-01,1,California
Dry,2002-01-01,2004-01-01,3,Colorado
Wet,2005-01-01,2005-01-01,1,Colorado
Dry,2006-01-01,2009-01-01,4,Colorado
Wet,2010-01-01,2011-01-01,2,Colorado
Dry,2012-01-01,2012-01-01,1,Colorado
Wet,2013-01-01,2013-01-01,1,Colorado
Dry,2014-01-01,2014-01-01,1,Colorado
Wet,2015-01-01,2017-01-01,3,Colorado
Dry,2018-01-01,2018-01-01,1,Colorado
Wet,2019-01-01,2019-01-01,1,Colorado
Dry,2020-01-01,2020-01-01,1,Colorado
Wet,2021-01-01,2024-01-01,4,Colorado
Dry,2002-01-01,2009-01-01,8,Congo
Wet,2010-01-01,2010-01-01,1,Congo
Dry,2011-01-01,2012-01-01,2,Congo
Wet,2013-01-01,2024-01-01,12,Congo
Dry,2002-01-01,2004-01-01,3,Danube
Wet,2005-01-01,2006-01-01,2,Danube
Dry,2007-01-01,2007-01-01,1,Danube
Wet,2008-01-01,2008-01-01,1,Danube
Dry,2009-01-01,2009-01-01,1,Danube
Wet,2010-01-01,2011-01-01,2,Danube
Dry,2012-01-01,2012-01-01,1,Danube
Wet,2013-01-01,2014-01-01,2,Danube
Dry,2015-01-01,2015-01-01,1,Danube
Wet,2016-01-01,2021-01-01,6,Danube
Dry,2022-01-01,2022-01-01,1,Danube
Wet,2023-01-01,2023-01-01,1,Danube
Dry,2024-01-01,2024-01-01,1,Danube
Dry,2002-01-01,2007-01-01,6,Ganges / Brahmaputra Basin
Wet,2008-01-01,2008-01-01,1,Ganges / Brahmaputra Basin
Dry,2009-01-01,2010-01-01,2,Ganges / Brahmaputra Basin
Wet,2011-01-01,2011-01-01,1,Ganges / Brahmaputra Basin
Dry,2012-01-01,2012-01-01,1,Ganges / Brahmaputra Basin
Wet,2013-01-01,2013-01-01,1,Ganges / Brahmaputra Basin
Dry,2014-01-01,2016-01-01,3,Ganges / Brahmaputra Basin
Wet,2017-01-01,2024-01-01,8,Ganges / Brahmaputra Basin
Dry,2002-01-01,2002-01-01,1,Mekong Basin
Wet,2003-01-01,2003-01-01,1,Mekong Basin
Dry,2004-01-01,2005-01-01,2,Mekong Basin
Wet,2006-01-01,2006-01-01,1,Mekong Basin
Dry,2007-01-01,2008-01-01,2,Mekong Basin
Wet,2009-01-01,2009-01-01,1,Mekong Basin
Dry,2010-01-01,2011-01-01,2,Mekong Basin
Wet,2012-01-01,2019-01-01,8,Mekong Basin
Dry,2020-01-01,2020-01-01,1,Mekong Basin
Wet,2021-01-01,2023-01-01,3,Mekong Basin
Dry,2024-01-01,2024-01-01,1,Mekong Basin
Dry,2002-01-01,2009-01-01,8,Mississippi / Missouri
Wet,2010-01-01,2010-01-01,1,Mississippi / Missouri
Dry,2011-01-01,2013-01-01,3,Mississippi / Missouri
Wet,2014-01-01,2021-01-01,8,Mississippi / Missouri
Dry,2022-01-01,2022-01-01,1,Mississippi / Missouri
Wet,2023-01-01,2024-01-01,2,Mississippi / Missouri
Dry,2002-01-01,2009-01-01,8,Murray Darling
Wet,2010-01-01,2012-01-01,3,Murray Darling
Dry,2013-01-01,2014-01-01,2,Murray Darling
Wet,2015-01-01,2016-01-01,2,Murray Darling
Dry,2017-01-01,2019-01-01,3,Murray Darling
Wet,2020-01-01,2022-01-01,3,Murray Darling
Dry,2023-01-01,2023-01-01,1,Murray Darling
Wet,2024-01-01,2024-01-01,1,Murray Darling
Dry,2002-01-01,2009-01-01,8,Nile
Wet,2010-01-01,2014-01-01,5,Nile
Dry,2015-01-01,2015-01-01,1,Nile
Wet,2016-01-01,2017-01-01,2,Nile
Dry,2018-01-01,2018-01-01,1,Nile
Wet,2019-01-01,2024-01-01,6,Nile
Dry,2002-01-01,2012-01-01,11,Yangtze Basin
Wet,2013-01-01,2024-01-01,12,Yangtze Basin
