type,start_date,end_date,duration_blocks,basin
Wet,2016-04-01,2017-01-01,4,Colorado
Dry,2017-04-01,2017-04-01,1,Colorado
Wet,2017-07-01,2017-07-01,1,Colorado
Dry,2017-10-01,2018-07-01,4,Colorado
Wet,2018-10-01,2019-04-01,3,Colorado
Dry,2019-07-01,2019-07-01,1,Colorado
Wet,2019-10-01,2020-01-01,2,Colorado
Dry,2020-04-01,2021-04-01,5,Colorado
Wet,2021-07-01,2021-10-01,2,Colorado
Dry,2022-01-01,2022-04-01,2,Colorado
Wet,2022-07-01,2023-01-01,3,Colorado
Dry,2023-04-01,2023-10-01,3,Colorado
Wet,2024-01-01,2024-04-01,2,Colorado
Dry,2024-07-01,2025-04-01,4,Colorado
Dry,1998-01-01,1998-04-01,2,Congo
Wet,1998-07-01,1998-07-01,1,Congo
Dry,1998-10-01,1998-10-01,1,Congo
Wet,1999-01-01,1999-01-01,1,Congo
Dry,1999-04-01,1999-04-01,1,Congo
Wet,1999-07-01,1999-10-01,2,Congo
Dry,2000-01-01,2000-04-01,2,Congo
Wet,2000-07-01,2001-04-01,4,Congo
Dry,2001-07-01,2001-10-01,2,Congo
Wet,2002-01-01,2003-01-01,5,Congo
Dry,2003-04-01,2004-04-01,5,Congo
Wet,2004-07-01,2004-10-01,2,Congo
Dry,2005-01-01,2005-10-01,4,Congo
Wet,2006-01-01,2006-04-01,2,Congo
Dry,2006-07-01,2006-07-01,1,Congo
Wet,2006-10-01,2006-10-01,1,Congo
Dry,2007-01-01,2007-01-01,1,Congo
Wet,2007-04-01,2008-01-01,4,Congo
Dry,2008-04-01,2008-04-01,1,Congo
Wet,2008-07-01,2008-07-01,1,Congo
Dry,2008-10-01,2008-10-01,1,Congo
Wet,2009-01-01,2009-04-01,2,Congo
Dry,2009-07-01,2009-07-01,1,Congo
Wet,2009-10-01,2010-01-01,2,Congo
Dry,2010-04-01,2010-04-01,1,Congo
Wet,2010-07-01,2010-07-01,1,Congo
Dry,2010-10-01,2010-10-01,1,Congo
Wet,2011-01-01,2011-01-01,1,Congo
Dry,2011-04-01,2011-04-01,1,Congo
Wet,2011-07-01,2011-07-01,1,Congo
Dry,2011-10-01,2012-04-01,3,Congo
Wet,2012-07-01,2013-01-01,3,Congo
Dry,2013-04-01,2013-07-01,2,Congo
Wet,2013-10-01,2014-01-01,2,Congo
Dry,2014-04-01,2014-10-01,3,Congo
Wet,2015-01-01,2015-01-01,1,Congo
Dry,2015-04-01,2015-07-01,2,Congo
Wet,2015-10-01,2016-07-01,4,Congo
Dry,2016-10-01,2016-10-01,1,Congo
Wet,2017-01-01,2019-01-01,9,Congo
Dry,2019-04-01,2019-07-01,2,Congo
Wet,2019-10-01,2019-10-01,1,Congo
Dry,2020-01-01,2021-04-01,6,Congo
Wet,2021-07-01,2021-07-01,1,Congo
Dry,2021-10-01,2022-01-01,2,Congo
Wet,2022-04-01,2022-04-01,1,Congo
Dry,2022-07-01,2023-01-01,3,Congo
Wet,2023-04-01,2023-04-01,1,Congo
Dry,2023-07-01,2025-01-01,7,Congo
Wet,2025-04-01,2025-04-01,1,Congo
Dry,1998-01-01,1998-01-01,1,Danube
Wet,1998-04-01,1998-10-01,3,Danube
Dry,1999-01-01,1999-01-01,1,Danube
Wet,1999-04-01,1999-10-01,3,Danube
Dry,2000-01-01,2000-10-01,4,Danube
Wet,2001-01-01,2001-07-01,3,Danube
Dry,2001-10-01,2002-04-01,3,Danube
Wet,2002-07-01,2002-10-01,2,Danube
Dry,2003-01-01,2003-07-01,3,Danube
Wet,2003-10-01,2005-07-01,8,Danube
Dry,2005-10-01,2005-10-01,1,Danube
Wet,2006-01-01,2006-04-01,2,Danube
Dry,2006-07-01,2006-10-01,2,Danube
Wet,2007-01-01,2007-01-01,1,Danube
Dry,2007-04-01,2007-04-01,1,Danube
Wet,2007-07-01,2007-10-01,2,Danube
Dry,2008-01-01,2008-04-01,2,Danube
Wet,2008-07-01,2008-07-01,1,Danube
Dry,2008-10-01,2008-10-01,1,Danube
Wet,2009-01-01,2009-01-01,1,Danube
Dry,2009-04-01,2009-07-01,2,Danube
Wet,2009-10-01,2010-10-01,5,Danube
Dry,2011-01-01,2012-01-01,5,Danube
Wet,2012-04-01,2012-04-01,1,Danube
Dry,2012-07-01,2012-07-01,1,Danube
Wet,2012-10-01,2013-04-01,3,Danube
Dry,2013-07-01,2014-01-01,3,Danube
Wet,2014-04-01,2015-01-01,4,Danube
Dry,2015-04-01,2015-10-01,3,Danube
Wet,2016-01-01,2016-04-01,2,Danube
Dry,2016-07-01,2016-07-01,1,Danube
Wet,2016-10-01,2016-10-01,1,Danube
Dry,2017-01-01,2017-04-01,2,Danube
Wet,2017-07-01,2018-01-01,3,Danube
Dry,2018-04-01,2019-01-01,4,Danube
Wet,2019-04-01,2019-04-01,1,Danube
Dry,2019-07-01,2020-04-01,4,Danube
Wet,2020-07-01,2021-01-01,3,Danube
Dry,2021-04-01,2021-07-01,2,Danube
Wet,2021-10-01,2021-10-01,1,Danube
Dry,2022-01-01,2022-04-01,2,Danube
Wet,2022-07-01,2022-07-01,1,Danube
Dry,2022-10-01,2022-10-01,1,Danube
Wet,2023-01-01,2023-04-01,2,Danube
Dry,2023-07-01,2023-07-01,1,Danube
Wet,2023-10-01,2023-10-01,1,Danube
Dry,2024-01-01,2024-01-01,1,Danube
Wet,2024-04-01,2024-04-01,1,Danube
Dry,2024-07-01,2025-04-01,4,Danube
Wet,1998-01-01,1998-01-01,1,Ganges / Bhramaputra Basin
Dry,1998-04-01,1998-04-01,1,Ganges / Bhramaputra Basin
Wet,1998-07-01,1998-10-01,2,Ganges / Bhramaputra Basin
Dry,1999-01-01,1999-01-01,1,Ganges / Bhramaputra Basin
Wet,1999-04-01,1999-10-01,3,Ganges / Bhramaputra Basin
Dry,2000-01-01,2000-01-01,1,Ganges / Bhramaputra Basin
Wet,2000-04-01,2000-07-01,2,Ganges / Bhramaputra Basin
Dry,2000-10-01,2001-01-01,2,Ganges / Bhramaputra Basin
Wet,2001-04-01,2001-04-01,1,Ganges / Bhramaputra Basin
Dry,2001-07-01,2001-07-01,1,Ganges / Bhramaputra Basin
Wet,2001-10-01,2002-04-01,3,Ganges / Bhramaputra Basin
Dry,2002-07-01,2002-10-01,2,Ganges / Bhramaputra Basin
Wet,2003-01-01,2003-01-01,1,Ganges / Bhramaputra Basin
Dry,2003-04-01,2003-04-01,1,Ganges / Bhramaputra Basin
Wet,2003-07-01,2003-10-01,2,Ganges / Bhramaputra Basin
Dry,2004-01-01,2004-01-01,1,Ganges / Bhramaputra Basin
Wet,2004-04-01,2004-04-01,1,Ganges / Bhramaputra Basin
Dry,2004-07-01,2004-07-01,1,Ganges / Bhramaputra Basin
Wet,2004-10-01,2005-01-01,2,Ganges / Bhramaputra Basin
Dry,2005-04-01,2005-04-01,1,Ganges / Bhramaputra Basin
Wet,2005-07-01,2005-10-01,2,Ganges / Bhramaputra Basin
Dry,2006-01-01,2006-01-01,1,Ganges / Bhramaputra Basin
Wet,2006-04-01,2006-04-01,1,Ganges / Bhramaputra Basin
Dry,2006-07-01,2006-10-01,2,Ganges / Bhramaputra Basin
Wet,2007-01-01,2007-01-01,1,Ganges / Bhramaputra Basin
Dry,2007-04-01,2007-04-01,1,Ganges / Bhramaputra Basin
Wet,2007-07-01,2007-07-01,1,Ganges / Bhramaputra Basin
Dry,2007-10-01,2007-10-01,1,Ganges / Bhramaputra Basin
Wet,2008-01-01,2008-07-01,3,Ganges / Bhramaputra Basin
Dry,2008-10-01,2009-07-01,4,Ganges / Bhramaputra Basin
Wet,2009-10-01,2009-10-01,1,Ganges / Bhramaputra Basin
Dry,2010-01-01,2010-01-01,1,Ganges / Bhramaputra Basin
Wet,2010-04-01,2011-07-01,6,Ganges / Bhramaputra Basin
Dry,2011-10-01,2012-04-01,3,Ganges / Bhramaputra Basin
Wet,2012-07-01,2012-07-01,1,Ganges / Bhramaputra Basin
Dry,2012-10-01,2012-10-01,1,Ganges / Bhramaputra Basin
Wet,2013-01-01,2013-04-01,2,Ganges / Bhramaputra Basin
Dry,2013-07-01,2013-07-01,1,Ganges / Bhramaputra Basin
Wet,2013-10-01,2014-01-01,2,Ganges / Bhramaputra Basin
Dry,2014-04-01,2014-10-01,3,Ganges / Bhramaputra Basin
Wet,2015-01-01,2015-04-01,2,Ganges / Bhramaputra Basin
Dry,2015-07-01,2016-04-01,4,Ganges / Bhramaputra Basin
Wet,2016-07-01,2016-07-01,1,Ganges / Bhramaputra Basin
Dry,2016-10-01,2016-10-01,1,Ganges / Bhramaputra Basin
Wet,2017-01-01,2017-04-01,2,Ganges / Bhramaputra Basin
Dry,2017-07-01,2017-07-01,1,Ganges / Bhramaputra Basin
Wet,2017-10-01,2017-10-01,1,Ganges / Bhramaputra Basin
Dry,2018-01-01,2018-10-01,4,Ganges / Bhramaputra Basin
Wet,2019-01-01,2019-01-01,1,Ganges / Bhramaputra Basin
Dry,2019-04-01,2019-04-01,1,Ganges / Bhramaputra Basin
Wet,2019-07-01,2020-04-01,4,Ganges / Bhramaputra Basin
Dry,2020-07-01,2021-01-01,3,Ganges / Bhramaputra Basin
Wet,2021-04-01,2021-04-01,1,Ganges / Bhramaputra Basin
Dry,2021-07-01,2021-07-01,1,Ganges / Bhramaputra Basin
Wet,2021-10-01,2022-04-01,3,Ganges / Bhramaputra Basin
Dry,2022-07-01,2022-07-01,1,Ganges / Bhramaputra Basin
Wet,2022-10-01,2023-01-01,2,Ganges / Bhramaputra Basin
Dry,2023-04-01,2023-07-01,2,Ganges / Bhramaputra Basin
Wet,2023-10-01,2023-10-01,1,Ganges / Bhramaputra Basin
Dry,2024-01-01,2024-04-01,2,Ganges / Bhramaputra Basin
Wet,2024-07-01,2024-07-01,1,Ganges / Bhramaputra Basin
Dry,2024-10-01,2025-01-01,2,Ganges / Bhramaputra Basin
Wet,2025-04-01,2025-04-01,1,Ganges / Bhramaputra Basin
Dry,1998-01-01,1998-07-01,3,Mekong Basin
Wet,1998-10-01,1999-04-01,3,Mekong Basin
Dry,1999-07-01,1999-07-01,1,Mekong Basin
Wet,1999-10-01,2001-04-01,7,Mekong Basin
Dry,2001-07-01,2001-07-01,1,Mekong Basin
Wet,2001-10-01,2001-10-01,1,Mekong Basin
Dry,2002-01-01,2002-01-01,1,Mekong Basin
Wet,2002-04-01,2002-07-01,2,Mekong Basin
Dry,2002-10-01,2002-10-01,1,Mekong Basin
Wet,2003-01-01,2003-01-01,1,Mekong Basin
Dry,2003-04-01,2004-01-01,4,Mekong Basin
Wet,2004-04-01,2004-04-01,1,Mekong Basin
Dry,2004-07-01,2005-04-01,4,Mekong Basin
Wet,2005-07-01,2005-07-01,1,Mekong Basin
Dry,2005-10-01,2005-10-01,1,Mekong Basin
Wet,2006-01-01,2006-01-01,1,Mekong Basin
Dry,2006-04-01,2006-04-01,1,Mekong Basin
Wet,2006-07-01,2006-07-01,1,Mekong Basin
Dry,2006-10-01,2007-01-01,2,Mekong Basin
Wet,2007-04-01,2007-04-01,1,Mekong Basin
Dry,2007-07-01,2007-07-01,1,Mekong Basin
Wet,2007-10-01,2008-04-01,3,Mekong Basin
Dry,2008-07-01,2008-07-01,1,Mekong Basin
Wet,2008-10-01,2008-10-01,1,Mekong Basin
Dry,2009-01-01,2009-01-01,1,Mekong Basin
Wet,2009-04-01,2009-04-01,1,Mekong Basin
Dry,2009-07-01,2010-07-01,5,Mekong Basin
Wet,2010-10-01,2012-04-01,7,Mekong Basin
Dry,2012-07-01,2013-04-01,4,Mekong Basin
Wet,2013-07-01,2013-10-01,2,Mekong Basin
Dry,2014-01-01,2014-01-01,1,Mekong Basin
Wet,2014-04-01,2014-07-01,2,Mekong Basin
Dry,2014-10-01,2014-10-01,1,Mekong Basin
Wet,2015-01-01,2015-01-01,1,Mekong Basin
Dry,2015-04-01,2016-07-01,6,Mekong Basin
Wet,2016-10-01,2018-07-01,8,Mekong Basin
Dry,2018-10-01,2019-04-01,3,Mekong Basin
Wet,2019-07-01,2019-07-01,1,Mekong Basin
Dry,2019-10-01,2020-07-01,4,Mekong Basin
Wet,2020-10-01,2020-10-01,1,Mekong Basin
Dry,2021-01-01,2021-01-01,1,Mekong Basin
Wet,2021-04-01,2021-04-01,1,Mekong Basin
Dry,2021-07-01,2021-07-01,1,Mekong Basin
Wet,2021-10-01,2022-07-01,4,Mekong Basin
Dry,2022-10-01,2023-04-01,3,Mekong Basin
Wet,2023-07-01,2023-10-01,2,Mekong Basin
Dry,2024-01-01,2024-04-01,2,Mekong Basin
Wet,2024-07-01,2024-07-01,1,Mekong Basin
Dry,2024-10-01,2025-04-01,3,Mekong Basin
Wet,1998-01-01,1998-01-01,1,Mississippi / Missouri
Dry,1998-04-01,1998-07-01,2,Mississippi / Missouri
Wet,1998-10-01,1999-04-01,3,Mississippi / Missouri
Dry,1999-07-01,2000-07-01,5,Mississippi / Missouri
Wet,2000-10-01,2001-01-01,2,Mississippi / Missouri
Dry,2001-04-01,2001-07-01,2,Mississippi / Missouri
Wet,2001-10-01,2001-10-01,1,Mississippi / Missouri
Dry,2002-01-01,2002-07-01,3,Mississippi / Missouri
Wet,2002-10-01,2002-10-01,1,Mississippi / Missouri
Dry,2003-01-01,2003-01-01,1,Mississippi / Missouri
Wet,2003-04-01,2003-04-01,1,Mississippi / Missouri
Dry,2003-07-01,2003-10-01,2,Mississippi / Missouri
Wet,2004-01-01,2005-01-01,5,Mississippi / Missouri
Dry,2005-04-01,2006-04-01,5,Mississippi / Missouri
Wet,2006-07-01,2007-01-01,3,Mississippi / Missouri
Dry,2007-04-01,2007-07-01,2,Mississippi / Missouri
Wet,2007-10-01,2008-10-01,5,Mississippi / Missouri
Dry,2009-01-01,2009-01-01,1,Mississippi / Missouri
Wet,2009-04-01,2009-10-01,3,Mississippi / Missouri
Dry,2010-01-01,2010-01-01,1,Mississippi / Missouri
Wet,2010-04-01,2010-07-01,2,Mississippi / Missouri
Dry,2010-10-01,2011-01-01,2,Mississippi / Missouri
Wet,2011-04-01,2011-04-01,1,Mississippi / Missouri
Dry,2011-07-01,2011-07-01,1,Mississippi / Missouri
Wet,2011-10-01,2011-10-01,1,Mississippi / Missouri
Dry,2012-01-01,2012-10-01,4,Mississippi / Missouri
Wet,2013-01-01,2013-04-01,2,Mississippi / Missouri
Dry,2013-07-01,2013-07-01,1,Mississippi / Missouri
Wet,2013-10-01,2013-10-01,1,Mississippi / Missouri
Dry,2014-01-01,2014-01-01,1,Mississippi / Missouri
Wet,2014-04-01,2014-07-01,2,Mississippi / Missouri
Dry,2014-10-01,2015-01-01,2,Mississippi / Missouri
Wet,2015-04-01,2015-10-01,3,Mississippi / Missouri
Dry,2016-01-01,2016-04-01,2,Mississippi / Missouri
Wet,2016-07-01,2016-07-01,1,Mississippi / Missouri
Dry,2016-10-01,2017-01-01,2,Mississippi / Missouri
Wet,2017-04-01,2017-07-01,2,Mississippi / Missouri
Dry,2017-10-01,2017-10-01,1,Mississippi / Missouri
Wet,2018-01-01,2018-01-01,1,Mississippi / Missouri
Dry,2018-04-01,2018-04-01,1,Mississippi / Missouri
Wet,2018-07-01,2020-01-01,7,Mississippi / Missouri
Dry,2020-04-01,2020-10-01,3,Mississippi / Missouri
Wet,2021-01-01,2021-01-01,1,Mississippi / Missouri
Dry,2021-04-01,2022-10-01,7,Mississippi / Missouri
Wet,2023-01-01,2023-01-01,1,Mississippi / Missouri
Dry,2023-04-01,2023-10-01,3,Mississippi / Missouri
Wet,2024-01-01,2024-04-01,2,Mississippi / Missouri
Dry,2024-07-01,2024-07-01,1,Mississippi / Missouri
Wet,2024-10-01,2024-10-01,1,Mississippi / Missouri
Dry,2025-01-01,2025-01-01,1,Mississippi / Missouri
Wet,2025-04-01,2025-04-01,1,Mississippi / Missouri
Dry,1998-01-01,1998-01-01,1,Murray
Wet,1998-04-01,1998-07-01,2,Murray
Dry,1998-10-01,1998-10-01,1,Murray
Wet,1999-01-01,1999-04-01,2,Murray
Dry,1999-07-01,1999-07-01,1,Murray
Wet,1999-10-01,2000-04-01,3,Murray
Dry,2000-07-01,2000-07-01,1,Murray
Wet,2000-10-01,2000-10-01,1,Murray
Dry,2001-01-01,2003-01-01,9,Murray
Wet,2003-04-01,2003-07-01,2,Murray
Dry,2003-10-01,2004-04-01,3,Murray
Wet,2004-07-01,2004-10-01,2,Murray
Dry,2005-01-01,2005-01-01,1,Murray
Wet,2005-04-01,2005-07-01,2,Murray
Dry,2005-10-01,2007-01-01,6,Murray
Wet,2007-04-01,2007-04-01,1,Murray
Dry,2007-07-01,2007-07-01,1,Murray
Wet,2007-10-01,2008-01-01,2,Murray
Dry,2008-04-01,2008-07-01,2,Murray
Wet,2008-10-01,2008-10-01,1,Murray
Dry,2009-01-01,2009-01-01,1,Murray
Wet,2009-04-01,2009-04-01,1,Murray
Dry,2009-07-01,2009-10-01,2,Murray
Wet,2010-01-01,2010-01-01,1,Murray
Dry,2010-04-01,2010-04-01,1,Murray
Wet,2010-07-01,2011-01-01,3,Murray
Dry,2011-04-01,2011-04-01,1,Murray
Wet,2011-07-01,2012-01-01,3,Murray
Dry,2012-04-01,2014-01-01,8,Murray
Wet,2014-04-01,2014-04-01,1,Murray
Dry,2014-07-01,2015-01-01,3,Murray
Wet,2015-04-01,2015-04-01,1,Murray
Dry,2015-07-01,2016-01-01,3,Murray
Wet,2016-04-01,2016-07-01,2,Murray
Dry,2016-10-01,2017-07-01,4,Murray
Wet,2017-10-01,2017-10-01,1,Murray
Dry,2018-01-01,2019-10-01,8,Murray
Wet,2020-01-01,2020-07-01,3,Murray
Dry,2020-10-01,2020-10-01,1,Murray
Wet,2021-01-01,2021-01-01,1,Murray
Dry,2021-04-01,2021-04-01,1,Murray
Wet,2021-07-01,2022-10-01,6,Murray
Dry,2023-01-01,2023-07-01,3,Murray
Wet,2023-10-01,2024-04-01,3,Murray
Dry,2024-07-01,2024-07-01,1,Murray
Wet,2024-10-01,2025-04-01,3,Murray
Wet,1998-01-01,1998-01-01,1,Nile
Dry,1998-04-01,1998-04-01,1,Nile
Wet,1998-07-01,1998-07-01,1,Nile
Dry,1998-10-01,1998-10-01,1,Nile
Wet,1999-01-01,1999-01-01,1,Nile
Dry,1999-04-01,1999-04-01,1,Nile
Wet,1999-07-01,1999-10-01,2,Nile
Dry,2000-01-01,2000-01-01,1,Nile
Wet,2000-04-01,2000-04-01,1,Nile
Dry,2000-07-01,2000-07-01,1,Nile
Wet,2000-10-01,2001-07-01,4,Nile
Dry,2001-10-01,2001-10-01,1,Nile
Wet,2002-01-01,2002-01-01,1,Nile
Dry,2002-04-01,2002-07-01,2,Nile
Wet,2002-10-01,2002-10-01,1,Nile
Dry,2003-01-01,2003-04-01,2,Nile
Wet,2003-07-01,2003-07-01,1,Nile
Dry,2003-10-01,2005-10-01,9,Nile
Wet,2006-01-01,2007-07-01,7,Nile
Dry,2007-10-01,2007-10-01,1,Nile
Wet,2008-01-01,2008-04-01,2,Nile
Dry,2008-07-01,2009-10-01,6,Nile
Wet,2010-01-01,2010-01-01,1,Nile
Dry,2010-04-01,2011-07-01,6,Nile
Wet,2011-10-01,2011-10-01,1,Nile
Dry,2012-01-01,2012-01-01,1,Nile
Wet,2012-04-01,2013-01-01,4,Nile
Dry,2013-04-01,2013-04-01,1,Nile
Wet,2013-07-01,2013-07-01,1,Nile
Dry,2013-10-01,2014-01-01,2,Nile
Wet,2014-04-01,2014-10-01,3,Nile
Dry,2015-01-01,2015-01-01,1,Nile
Wet,2015-04-01,2015-04-01,1,Nile
Dry,2015-07-01,2015-07-01,1,Nile
Wet,2015-10-01,2015-10-01,1,Nile
Dry,2016-01-01,2016-01-01,1,Nile
Wet,2016-04-01,2016-07-01,2,Nile
Dry,2016-10-01,2016-10-01,1,Nile
Wet,2017-01-01,2017-07-01,3,Nile
Dry,2017-10-01,2017-10-01,1,Nile
Wet,2018-01-01,2018-04-01,2,Nile
Dry,2018-07-01,2018-07-01,1,Nile
Wet,2018-10-01,2018-10-01,1,Nile
Dry,2019-01-01,2019-01-01,1,Nile
Wet,2019-04-01,2020-07-01,6,Nile
Dry,2020-10-01,2021-10-01,5,Nile
Wet,2022-01-01,2022-01-01,1,Nile
Dry,2022-04-01,2022-04-01,1,Nile
Wet,2022-07-01,2022-07-01,1,Nile
Dry,2022-10-01,2023-01-01,2,Nile
Wet,2023-04-01,2023-04-01,1,Nile
Dry,2023-07-01,2023-07-01,1,Nile
Wet,2023-10-01,2024-04-01,3,Nile
Dry,2024-07-01,2024-07-01,1,Nile
Wet,2024-10-01,2024-10-01,1,Nile
Dry,2025-01-01,2025-04-01,2,Nile
Wet,1998-01-01,1998-07-01,3,Yangtze Basin
Dry,1998-10-01,1999-01-01,2,Yangtze Basin
Wet,1999-04-01,1999-07-01,2,Yangtze Basin
Dry,1999-10-01,2000-07-01,4,Yangtze Basin
Wet,2000-10-01,2000-10-01,1,Yangtze Basin
Dry,2001-01-01,2001-07-01,3,Yangtze Basin
Wet,2001-10-01,2001-10-01,1,Yangtze Basin
Dry,2002-01-01,2002-01-01,1,Yangtze Basin
Wet,2002-04-01,2002-04-01,1,Yangtze Basin
Dry,2002-07-01,2002-07-01,1,Yangtze Basin
Wet,2002-10-01,2002-10-01,1,Yangtze Basin
Dry,2003-01-01,2004-10-01,8,Yangtze Basin
Wet,2005-01-01,2005-01-01,1,Yangtze Basin
