type,start_date,end_date,duration_blocks,basin
Wet,1998-01-01,1998-01-01,1,Danube
Dry,1998-07-01,2000-01-01,4,Danube
Wet,2000-07-01,2001-01-01,2,Danube
Dry,2001-07-01,2001-07-01,1,Danube
Wet,2002-01-01,2002-07-01,2,Danube
Dry,2003-01-01,2003-01-01,1,Danube
Wet,2003-07-01,2003-07-01,1,Danube
Dry,2004-01-01,2004-01-01,1,Danube
Wet,2004-07-01,2004-07-01,1,Danube
Dry,2005-01-01,2005-01-01,1,Danube
Wet,2005-07-01,2006-01-01,2,Danube
Dry,2006-07-01,2006-07-01,1,Danube
Wet,2007-01-01,2007-07-01,2,Danube
Dry,2008-01-01,2008-07-01,2,Danube
Wet,2009-01-01,2009-07-01,2,Danube
Dry,2010-01-01,2011-07-01,4,Danube
Wet,2012-01-01,2013-01-01,3,Danube
Dry,2013-07-01,2013-07-01,1,Danube
Wet,2014-01-01,2014-01-01,1,Danube
Dry,2014-07-01,2015-01-01,2,Danube
Wet,2015-07-01,2016-07-01,3,Danube
Dry,2017-01-01,2017-07-01,2,Danube
Wet,2018-01-01,2018-01-01,1,Danube
Dry,2018-07-01,2018-07-01,1,Danube
Wet,2019-01-01,2020-07-01,4,Danube
Dry,2021-01-01,2021-07-01,2,Danube
Wet,2022-01-01,2022-07-01,2,Danube
Dry,2023-01-01,2023-01-01,1,Danube
Wet,2023-07-01,2025-01-01,4,Danube
Wet,1998-01-01,1998-01-01,1,Mississippi / Missouri
Dry,1998-07-01,1999-01-01,2,Mississippi / Missouri
Wet,1999-07-01,2000-07-01,3,Mississippi / Missouri
Dry,2001-01-01,2001-01-01,1,Mississippi / Missouri
Wet,2001-07-01,2001-07-01,1,Mississippi / Missouri
Dry,2002-01-01,2002-01-01,1,Mississippi / Missouri
Wet,2002-07-01,2002-07-01,1,Mississippi / Missouri
Dry,2003-01-01,2003-01-01,1,Mississippi / Missouri
Wet,2003-07-01,2006-01-01,6,Mississippi / Missouri
Dry,2006-07-01,2007-07-01,3,Mississippi / Missouri
Wet,2008-01-01,2008-01-01,1,Mississippi / Missouri
Dry,2008-07-01,2008-07-01,1,Mississippi / Missouri
Wet,2009-01-01,2009-07-01,2,Mississippi / Missouri
Dry,2010-01-01,2011-01-01,3,Mississippi / Missouri
Wet,2011-07-01,2012-01-01,2,Mississippi / Missouri
Dry,2012-07-01,2012-07-01,1,Mississippi / Missouri
Wet,2013-01-01,2013-07-01,2,Mississippi / Missouri
Dry,2014-01-01,2014-01-01,1,Mississippi / Missouri
Wet,2014-07-01,2016-07-01,5,Mississippi / Missouri
Dry,2017-01-01,2017-07-01,2,Mississippi / Missouri
Wet,2018-01-01,2018-07-01,2,Mississippi / Missouri
Dry,2019-01-01,2019-01-01,1,Mississippi / Missouri
Wet,2019-07-01,2019-07-01,1,Mississippi / Missouri
Dry,2020-01-01,2022-07-01,6,Mississippi / Missouri
Wet,2023-01-01,2023-01-01,1,Mississippi / Missouri
Dry,2023-07-01,2024-07-01,3,Mississippi / Missouri
Wet,2025-01-01,2025-01-01,1,Mississippi / Missouri
Dry,1998-01-01,1998-07-01,2,Colorado
Wet,1999-01-01,2000-07-01,4,Colorado
Dry,2001-01-01,2001-01-01,1,Colorado
Wet,2001-07-01,2001-07-01,1,Colorado
Dry,2002-01-01,2002-01-01,1,Colorado
Wet,2002-07-01,2006-01-01,8,Colorado
Dry,2006-07-01,2008-07-01,5,Colorado
Wet,2009-01-01,2009-07-01,2,Colorado
Dry,2010-01-01,2012-07-01,6,Colorado
Wet,2013-01-01,2013-07-01,2,Colorado
Dry,2014-01-01,2014-01-01,1,Colorado
Wet,2014-07-01,2017-01-01,6,Colorado
Dry,2017-07-01,2017-07-01,1,Colorado
Wet,2018-01-01,2018-01-01,1,Colorado
Dry,2018-07-01,2018-07-01,1,Colorado
Wet,2019-01-01,2019-07-01,2,Colorado
Dry,2020-01-01,2020-07-01,2,Colorado
Wet,2021-01-01,2021-01-01,1,Colorado
Dry,2021-07-01,2023-07-01,5,Colorado
Wet,2024-01-01,2025-01-01,3,Colorado
Wet,1998-01-01,1998-01-01,1,California
